name,rating,address,total reviews,cuisine,price,neighborhood,website,email,phone,review rating,review description,review dine date
35 Steaks + Martinis,3.9,"4455 Paradise Road Las Vegas, NV  89169 ",42,Steakhouse,$50 and over,Hard Rock Hotel,http://www.hardrockhotel.com/#/dine/35-steaks-martinis/,groupdining@hrhvegas.com,(702) 693-4092,3.9 / 5,"Really terrific staff...bartenders were great, waitstaff was excellent! Food was perfectly prepared! Delicious!",07/20/2012
Addiction at Rumor Vegas Boutique Resort,3.2,"455 East Harmon Avenue Las Vegas, NV  89147 ",16,Contemporary American,$30 and under,Near the Strip,http://www.rumorvegas.com/addiction/,info@rumorvegas.com,(702) 369-5400,3.2 / 5,"It's amazing Addiction is not more popular. Small but cozy, Addiction is tucked in the corner of Rumor Boutique Hotel's lobby, overlooking the courtyard and pool. You get the feeling of dining in a Palm Springs or Miami resort -- no clanging slot machines or obnoxious music. The menu is mostly made of interesting takes on comfort food, served tapas-style. The service is attentive, relaxed and friendly. And because of its ""hidden"" nature, getting a table is as easy as walking right in.",06/29/2012
Agave - Las Vegas,3.7,"10820 W. Charleston Blvd Las Vegas, NV  89135 ",28,Contemporary Mexican,$30 and under,Summerlin,http://www.agavelasvegas.com,agave@mcrestaurants.com,(702) 214-3500,3.7 / 5,"We frequent Agave often. This trip, friends from Canada were visiting and they were my guests. We had an absolutely delightful lunch - trying several appetizers and sharing them. The guacamole with chiptloes is always my favorite, but for the first time, we tried the fajitas (shrimp and chicken). The best fajitas I ever tasted. Our waiter was Francisco and I hope next trip he will be there. I will ask for him.",07/19/2012
Alizé at the Top of the Palms Casino Resort,4.4,"4321 W Flamingo Road Las Vegas, NV  89103 ",115,French,$50 and over,The Palms Hotel & Casino,http://www.alizelv.com,info@alizelv.com,(702) 951-7000,4.4 / 5,"Great setting and service. Food was very good as well. Pricey, ideal for a special occassion.",07/12/2012
America Restaurant - NYNY Hotel and Casino,3.2,"3790 Las Vegas Blvd South Las Vegas, NV  89109 ",21,American,$30 and under,New York New York Hotel & Casino,http://www.arkvegas.com/restaurants_america.htm,"",(702) 740-6451,3.2 / 5,Horrible service! Food was late on several occassions and the service was horrible!,07/05/2012
Andre's at the Monte Carlo Resort & Casino,4.5,"3770 Las Vegas Blvd South Las Vegas, NV  89109 ",60,French,$50 and over,Monte Carlo Hotel & Casino,http://www.andrelv.com,infomc@andrelv.com,(702) 798-7151,4.5 / 5,Went to dinner with a group for my birthday. The seared fois was amazing and the stuffed lobster is my favorite entree. Server was very professional. As always Tanya made sure that we were content and well taken care of thru out the night. She continues to go above and beyond every time I done there. There are a lot of options in Vegas but I always continue to take my guest to Andres where I know it will be a memorable experience! Almost forgot... These busser have the best attention to detail that I have ever seen! Thank you to the whole staff!!,07/08/2012
Annie's Gourmet Italian,4.0,"1716 W Horizon Ridge Pkwy Suite 100 Henderson, NV  89012",17,Italian,$30 and under,Henderson,http://]www.anniesgourmetitalian.com/,annie@anniesgourmetitalian.com,(702) 254-3663,4 / 5,There were some very odd tasting dishes for an Italian restaurant. Eggplant Parmigiana unusual taste & my sons dish was in a white sauce that was way too creamy.,06/29/2012
Aquaknox,4.3,"3355 South Las Vegas Blvd. Las Vegas, NV  89109 ",135,Seafood,$31 to $50,The Venetian and Palazzo,http://www.Aquaknox.net,lasvegassales@tavistockerestaurants.com,(702) 414-3772,4.3 / 5,"Service was terrific, Waiter was very friendly - liked him. Food was wonderful. Thank you for our anniversary surprise.",07/16/2012
Artisan Hotel Boutiques’ Mood Restaurant,3.3,"1501 West Sahara Avenue Las Vegas, NV  89102 ",7,American,$30 and under,Near the Strip,http://www.artisanhotel.com,dining@artisanhotel.com,(702) 214-4000,3.3 / 5,"We are locals and love this hotel. We love the bar and the ambiance of the bar. We've wanted to try the restaurant for a long time. Sadly, we won't go back here to eat. I will say that the bread basket was really good.",06/15/2012
Aureole - Las Vegas,4.1,"3950 Las Vegas Blvd. Las Vegas, NV  89119 ",141,American,$31 to $50,Mandalay Bay Resort,http://www.charliepalmer.com,"",(702) 632-7401,4.1 / 5,"This was a beautiful restaurant with very good service, but because you're pretty much forced into ordering one of their prix fixe menus, you end up spending a huge amount of money. This may be one of the priciest restaurants in Las Vegas and we were not concerned about the price, but it was surprising that there weren't more options to eat less. We were a party of 7 and I didn't hear anyone raving over their food although nobody complained either. This is a true ""dining"" restaurant and as such, they gave you a true fine dining experience. I'm glad I went because I always wanted to try it, and I'm glad I did.",07/20/2012
B and B Ristorante,4.3,"3355 Las Vegas Blvd South The Venetian Resort Hotel and Casino Las Vegas, NV  89109",226,Italian,$50 and over,The Venetian and Palazzo,http://www.bandbristorante.com,info@bandbristorante.com,(702) 266-9977,4.3 / 5,"Beautiful restaurant, service was outstanding. We had the 5 course tasting dinner and the food was quite good. It did not blow me away however and for the outrageous prices that we paid for dinner I should have been blown away. Very good but far too expensive considering we ate at other 5 start Las Vegas restaurants on our trip and the prices did not come close to this",07/17/2012
B.B. King's Blues Club - Las Vegas,3.9,"3400 Las Vegas Blvd. Las Vegas, NV  89109 ",147,Southern,$30 and under,Las Vegas,http://www.bbkingclubs.com/index.php?page=lvhome,lasvegassales@bbkingclubs.com,(702) 242-5465,3.9 / 5,Great music and service. Food was good.,07/18/2012
Bacio - Tropicana Las Vegas,3.9,"3801 Las Vegas Blvd South Las Vegas, NV  89109 ",94,Italian,$30 and under,The Tropicana,http://www.troplv.com/dining/bacio,pbishop@troplv.com,(702) 739-2222,3.9 / 5,"We had a wonderful dining experience at Bacio. The waitstaff was attentive and helpful without being intrusive. There are some fine selections on the menu at reasonable prices but we decided to go with the fixed price menu. This menu also had great options and all three courses, appetizer, entree and desert were full size portions. The only issue some people may have is some of the tables are open to the concourse, where hotel guests pass by. The noise wasn't bothersome but you do sacrifice privacy. I would summarize our experience as excellent service and food at a reasonable price. We do recommend Bacio and would dine here on future trips to Las Vegas.",07/18/2012
Baja Miguel's - South Point Casino,4.1,"9777 Las Vegas Blvd South Las Vegas, NV  89183 ",19,Mexican,$30 and under,South Point Casino,http://www.southpointcasino.com/dining/baja-miguels.php,bajamiguels@southpointcasino.com,(702) 797-8075,4.1 / 5,"As always, generous portions of quality food at generous prices.",07/21/2012
Bar and Lounge Table Reservations - Cosmopolitan,5.0,"3708 Las Vegas Blvd South Las Vegas, NV  89109 ",1,Bar / Lounge / Bottle Service,$31 to $50,Cosmopolitan of Las Vegas,http://www.cosmopolitanlasvegas.com/experience/lounges-and-bars.aspx,"",(877) 893-2001,1.5 / 5,This reservation was unnecessary. There was no host and we sat where ever we wanted. It was mid-week during a slow month. You might need a reservation on a busy weekend or holiday.,03/06/2012
Barcelona Tapas & Bar,4.0,"10690 Southern Highlands Pkwy Las Vegas, NV  89141 ",8,Spanish,$30 and under,South Las Vegas,http://www.BarcelonaTapas-Bar.com,barcelonatapasbar@hotmail.com,(702) 483-5764,4 / 5,"A great place to experience a variety of dishes, reasonably priced. Good wines.",05/13/2012
The Barrymore - Las Vegas,4.4,"99 Convention Center Drive Las Vegas, NV  89109 ",111,American,$30 and under,The Strip,http://www.barrymorelv.com,info@barrymorelv.com,(702) 407-5303,4.4 / 5,Great Meal and overall experience off the strip in Vegas. Better value than most strip restaurants.,07/18/2012
Bartolotta Ristorante Di Mare - Wynn Las Vegas,4.1,"3131 Las Vegas Boulevard South Las Vegas, NV  89109 ",93,Italian,$50 and over,Wynn Las Vegas and Encore,http://www.wynnlasvegas.com/dining/bartolotta,"",(702) 770-3305,4.1 / 5,Outstanding in every way. We did the tasting menu and it was truly wonderful,07/19/2012
Beach Cafe - Tropicana Las Vegas,4.0,"3801 Las Vegas Blvd South Las Vegas, NV  89109 ",40,"Global, International",$31 to $50,The Tropicana,http://www.nikkibeachlasvegas.com,"",(702) 739-2636,4 / 5,"Very good about having reservations. Staff was friendly and accommodating. Food was so-so. My 12 year old cousin had chicken tenders that were ok. I had the grilled chicken sandwich, and didn't realize it had a chipotle mayo on it. It came on texas toast that was soaking wet from the mayo on both sides, and it didn't have lettuce/tomato/onion like the waiter said it would. They were great about quickly fixing the problem, but the chicken was dry and rubbery. Nice staff, and nice view of the outside grounds, but I wouldn't go back for the food.",07/17/2012
Benihana – LVH – Las Vegas Hotel & Casino,4.3,"3000 Paradise Road Las Vegas, NV  89109 ",103,Japanese,$30 and under,LVH – Las Vegas Hotel & Casino,http://www.thelvh.com/Hotel/dining/finedining/benihana,Benihana@THELVH.com,(702) 732-5755,4.3 / 5,Our chef was a lot of fun and very engaging,07/17/2012
Beso Steakhouse - Las Vegas,4.1,"3720 S. Las Vegas Blvd. #260 Las Vegas, NV  89109 ",97,Steakhouse,$50 and over,The Strip,http://besolasvegas.com,beso@besolasvegas.com,(702) 254-2376,4.1 / 5,"Our dinner experience was really great. We saw they ad oysters on the menu but didn't have Oysters Rockefeller, we asked the waiter and he asked the chef and the chef agreed to make them. Well I have to tell yoiu they were probably the best we have ever had. A definate reccommend on any trip to Vegas.",07/21/2012
Billy Bob's Steak House & Saloon,4.7,"5111 Boulder Hwy Las Vegas, NV  89122-6001 ",3,Steakhouse,$30 and under,Las Vegas,http://www.samstownlv.com/dine/billy-bobs-steak-house-and-saloon,lindamccormick@boydgaming.com,(702) 456-7777,4.7 / 5,Billy Bob's is awlays my favorite when visiting Las Vegas! It's a hidden gem with their 24-oz bone-in rib eye steak. The food quantity and quality are great! Also try the double pork chop! And be sure to finish your meal with the foot long eclair dessert!,06/23/2012
Biscayne - Tropicana Las Vegas,4.3,"3801 Las Vegas Blvd South Las Vegas, NV  89109 ",87,Steak,$31 to $50,The Tropicana,http://www.troplv.com/dining/biscayne,pbishop@troplv.com,(702) 739-2222,4.3 / 5,"Overall, the food and service was very good and we would go back. The steaks were seasoned and cooked nicely. The kobe slider appetizer was very good. The short rib mac & cheese bites were interesting to try and were good, but probably once was enough.",07/21/2012
Blue Ribbon Sushi Bar & Grill - The Cosmopolitan of Las Vegas,3.9,"3708 Las Vegas Blvd South Las Vegas, NV  89109 ",112,Asian,$50 and over,Cosmopolitan of Las Vegas,http://www.cosmopolitanlasvegas.com/taste/restaurant-collection/blue-ribbon-sushi-bar-grill.aspx,"",(877) 893-2001,3.9 / 5,"What a great find! We loved the food and the ambience. Particularly noteworthy was the lobster dish, outstanding taste and value. We are going back!",07/19/2012
Bootlegger Bistro,4.4,"7700 Las Vegas Blvd Las Vegas, NV  89123 ",52,Italian,$30 and under,Near the Strip,http://www.bootleggerlasvegas.com,events@bootleggerlasvegas.com,(702) 736-4939,4.4 / 5,"Great service! Loved the piano player-he could play everything and anything by memory. A few too many screaming brats who could have been isolated by themselves in a place further away from the piano. However, overall a good dining experience based in good cuisine!",07/13/2012
Border Grill - Las Vegas,4.0,"3950 Las Vegas Blvd South Las Vegas, NV  89119 ",161,Mexican,$30 and under,Mandalay Bay Resort,http://www.bordergrill.com,"",(702) 632-7403,4 / 5,"We arrived a few minutes prior to our reservation, so while we waited in the bar the hostess graciously set up a table for us on the patio, overlooking the pool. Our waitress explained the specials of the day, and then gave us time to look over the menu. I picked an item that looked appealing; she then advised that the chef had made changes to the dish, both of which were ok for me. When it arrived, I was glad the changes had been made. My boyfriend asked for help with the entree choices, and again the waitress made suggestions - not based on the price, but on what type of meat he liked. Overall, a very satisfying experience. Although there were families with young children on the patio it was not annoying or loud.",06/23/2012
BOTERO – Encore at Wynn Las Vegas,4.4,"3131 Las Vegas Blvd. South Las Vegas, NV  89109 ",67,Steak,$50 and over,Wynn Las Vegas and Encore,http://www.wynnlasvegas.com,dining@wynnlasvegas.com,(702) 770-5310,4.4 / 5,Lovely venue and attentive staff make this worth every penny!,07/15/2012
